iter	Passed	Remaining
659	761	392
660	762	391
661	764	390
662	765	389
663	766	387
664	767	386
665	768	385
666	769	384
667	770	383
668	771	381
669	772	380
670	773	379
671	774	378
672	775	376
673	776	375
674	777	374
675	778	373
676	779	372
677	780	370
678	781	369
679	782	368
680	783	367
681	785	366
682	786	364
683	787	363
684	788	362
685	789	361
686	790	360
687	792	359
688	793	358
689	794	356
690	795	355
691	796	354
692	797	353
693	798	352
694	799	351
695	800	349
696	801	348
697	802	347
698	804	346
699	805	345
700	806	344
701	807	342
702	809	341
703	810	340
704	811	339
705	812	338
706	813	337
707	814	335
708	815	334
709	816	333
710	817	332
711	819	331
712	820	330
713	821	328
714	822	327
715	823	326
716	824	325
717	826	324
718	827	323
719	828	322
720	829	320
721	830	319
722	831	318
723	832	317
724	833	316
725	834	314
726	835	313
727	836	312
728	837	311
729	838	310
730	839	308
731	840	307
732	841	306
733	842	305
734	843	304
735	844	302
736	845	301
737	846	300
738	847	299
739	848	298
740	849	297
741	850	295
742	851	294
743	852	293
744	853	292
745	854	291
746	855	289
747	856	288
748	858	287
749	859	286
750	860	285
751	861	284
752	862	283
753	863	281
754	864	280
755	866	279
756	867	278
757	868	277
758	869	276
759	870	274
760	871	273
761	872	272
762	873	271
763	874	270
764	875	268
765	877	268
766	878	266
767	879	265
768	880	264
769	881	263
770	882	262
771	883	260
772	884	259
773	885	258
774	886	257
775	887	256
776	888	254
777	889	253
778	890	252
779	891	251
780	892	250
781	892	248
782	893	247
783	894	246
784	895	245
785	896	244
786	897	242
787	898	241
788	899	240
789	900	239
790	901	238
791	902	237
792	903	235
793	904	234
794	905	233
795	906	232
796	907	231
797	908	229
798	909	228
799	910	227
800	911	226
801	912	225
802	913	224
803	914	223
804	915	221
805	916	220
806	917	219
807	918	218
808	919	217
809	920	215
810	921	214
811	922	213
812	923	212
813	924	211
814	925	210
815	926	208
816	927	207
817	928	206
818	929	205
819	930	204
820	931	203
821	932	201
822	933	200
823	934	199
824	935	198
825	936	197
826	937	196
827	938	195
828	939	193
829	940	192
830	941	191
831	942	190
832	943	189
833	944	188
834	945	186
835	946	185
836	947	184
837	948	183
838	949	182
839	950	181
840	951	179
841	952	178
842	953	177
843	954	176
844	955	175
845	956	174
846	957	173
847	958	171
848	959	170
849	960	169
850	961	168
851	962	167
852	963	166
853	964	164
854	965	163
855	966	162
856	967	161
857	968	160
858	969	159
859	970	158
860	971	156
861	972	155
862	973	154
863	974	153
864	975	152
865	976	151
866	977	149
867	978	148
868	979	147
869	980	146
870	981	145
871	982	144
872	983	143
873	984	141
874	985	140
875	986	139
876	987	138
877	988	137
878	989	136
879	990	135
880	991	133
881	992	132
882	993	131
883	994	130
884	995	129
885	996	128
886	997	127
887	998	125
888	999	124
889	1000	123
890	1003	122
891	1004	121
892	1005	120
893	1006	119
894	1007	118
895	1008	117
896	1009	115
897	1010	114
898	1011	113
899	1012	112
900	1013	111
901	1014	110
902	1015	109
903	1016	107
904	1018	106
905	1019	105
906	1020	104
907	1021	103
908	1022	102
909	1023	101
910	1024	100
911	1025	98
912	1026	97
913	1027	96
914	1028	95
915	1029	94
916	1030	93
917	1031	92
918	1033	91
919	1034	89
920	1035	88
921	1036	87
922	1037	86
923	1038	85
924	1039	84
925	1040	83
926	1040	81
927	1041	80
928	1042	79
929	1043	78
930	1044	77
931	1045	76
932	1046	75
933	1047	74
934	1048	72
935	1049	71
936	1050	70
937	1051	69
938	1052	68
939	1053	67
940	1054	66
941	1055	64
942	1056	63
943	1057	62
944	1058	61
945	1059	60
946	1060	59
947	1061	58
948	1062	57
949	1063	55
950	1064	54
951	1065	53
952	1066	52
953	1067	51
954	1068	50
955	1069	49
956	1070	48
957	1071	46
958	1072	45
959	1073	44
960	1074	43
961	1075	42
962	1076	41
963	1077	40
964	1078	39
965	1079	37
966	1080	36
967	1081	35
968	1082	34
969	1083	33
970	1084	32
971	1085	31
972	1086	30
973	1087	29
974	1088	27
975	1089	26
976	1090	25
977	1091	24
978	1091	23
979	1092	22
980	1093	21
981	1094	20
982	1096	18
983	1097	17
984	1098	16
985	1099	15
986	1099	14
987	1100	13
988	1101	12
989	1102	11
990	1103	10
991	1104	8
992	1105	7
993	1106	6
994	1107	5
995	1108	4
996	1109	3
997	1110	2
998	1111	1
999	1112	0
